iteration,term,type,shap,perm_imp,coef
0,smoothness,main,1.214926800837992,0.019776377627299946,3.023480693292493
0,weight_gsm,main,11.775659162993863,1.8838121418002056,-0.2999684867316869
0,stiffness,main,0.10394459399100282,0.0007111097572513825,1.374882220060484
0,smoothness weight_gsm,interaction,0.20097552207211666,0.0009451455806027464,-0.030511647176734467
0,smoothness stiffness,interaction,0.02614535466367682,0.049941170908951005,0.6745876078880663
0,weight_gsm stiffness,interaction,0.0279019174605336,0.00024342917658700668,-0.03978396861078896
1,smoothness,main,0.9327666005750352,0.01288643366110811,1.6646354030573434
1,weight_gsm,main,10.965767490371217,1.9493520154303714,-0.2945328853845234
1,stiffness,main,0.09482949850977528,0.0007089020010485281,2.2795487228511013
1,smoothness weight_gsm,interaction,0.1503284619544375,0.0010702132198888604,-0.03074114248973465
1,smoothness stiffness,interaction,0.020784281156356065,0.066341481277887,0.5760665315188589
1,weight_gsm stiffness,interaction,0.03303131346002543,0.00039950421945378345,-0.033419991622148586
2,smoothness,main,1.0235714436203465,0.015032133250600821,1.3702703733996022
2,weight_gsm,main,11.296965630085401,1.9060574218321644,-0.2934129228077498
2,stiffness,main,0.05818949612617915,0.00035127792070256404,1.803358946881627
2,smoothness weight_gsm,interaction,0.14518973815056,0.0011308860929449937,-0.03375227214806793
2,smoothness stiffness,interaction,0.011569588832417732,0.0578305816836324,0.5243646102481003
2,weight_gsm stiffness,interaction,0.021466461339414166,0.00017455392554811545,-0.03195831438999358
3,smoothness,main,0.8312077067410314,0.01236626527919248,2.2469597733265907
3,weight_gsm,main,11.219845401324882,1.8324631167421295,-0.30263255534519784
3,stiffness,main,0.05974446501913169,0.00042255435226743463,2.664241818325982
3,smoothness weight_gsm,interaction,0.11658384481204445,0.0009285328620309175,-0.03427828176850233
3,smoothness stiffness,interaction,0.018994591763809594,0.056017038868435884,0.8870527036158743
3,weight_gsm stiffness,interaction,0.025985636849165616,0.0002594252620244042,-0.03975796547730722
4,smoothness,main,0.9166874358322592,0.012306482652781304,2.5186700345418083
4,weight_gsm,main,11.45743422817836,1.8560970489028872,-0.30048433270233926
4,stiffness,main,0.06358717831562972,0.00043800714742627813,2.066465853419383
4,smoothness weight_gsm,interaction,0.11535781324675017,0.001404285768043656,-0.03170535396367428
4,smoothness stiffness,interaction,0.011215008514510122,0.06385248508957884,0.7403719263305192
4,weight_gsm stiffness,interaction,0.02107464213190498,0.0001692662465695216,-0.03497212944940022
5,smoothness,main,1.1583154628206516,0.01681531261140058,2.879865279682498
5,weight_gsm,main,11.67646330776194,1.8765031825603251,-0.3038269775143719
5,stiffness,main,0.06878813802570757,0.0003571488384915944,2.5364080231495603
5,smoothness weight_gsm,interaction,0.17427933559310532,0.000833060769084859,-0.03150836191467873
5,smoothness stiffness,interaction,0.01408645298080263,0.06177463523708053,0.84005249469415
5,weight_gsm stiffness,interaction,0.0258202691625212,0.00024492150866854966,-0.03523587370199966
6,smoothness,main,1.0073140900048,0.015323726128126835,2.17365199500246
6,weight_gsm,main,11.076631390058417,1.9498479376136484,-0.2945245928718426
6,stiffness,main,0.05645550076501584,0.00046586063753838446,0.756723277806778
6,smoothness weight_gsm,interaction,0.13414741058061555,0.0011067664937884024,-0.03068297020675632
6,smoothness stiffness,interaction,0.009380758013171987,0.05914964647183618,0.48043310164621944
6,weight_gsm stiffness,interaction,0.021271666554788033,0.00030534383070801585,-0.03718963156078522
7,smoothness,main,1.1663041904288733,0.015888404073238105,3.5744936638912423
7,weight_gsm,main,12.077586363367056,1.847299660878642,-0.3071527337193596
7,stiffness,main,0.06159599268117605,0.00030666865888707707,1.6507215776977209
7,smoothness weight_gsm,interaction,0.16444914240368513,0.0009947879699626848,-0.03226653991810504
7,smoothness stiffness,interaction,0.010947776659298832,0.04861123219851819,0.9308575705478551
7,weight_gsm stiffness,interaction,0.01963385469272713,0.00026004834464051776,-0.04074054428811749
8,smoothness,main,1.165446957828443,0.0168515043156509,3.419071162648847
8,weight_gsm,main,11.905796540563607,1.8423277723486353,-0.30319148765754966
8,stiffness,main,0.08300308551937578,0.0004443074409770209,1.233761788311842
8,smoothness weight_gsm,interaction,0.1784720773982244,0.0008353680414531883,-0.030777429132145193
8,smoothness stiffness,interaction,0.018536147237724038,0.056042959490908914,0.739871119116277
8,weight_gsm stiffness,interaction,0.022236799527689113,0.00018075897421417907,-0.03639369938084772
9,smoothness,main,1.2098154408045643,0.01745373717463492,2.3870609465105237
9,weight_gsm,main,11.242795917890406,1.8615734592346662,-0.2983043598558796
9,stiffness,main,0.08138254580309655,0.0005374404948216838,1.4443355805878886
9,smoothness weight_gsm,interaction,0.19438411417820378,0.0010344387663779875,-0.02994419146526815
9,smoothness stiffness,interaction,0.021157673835486904,0.050581315730288665,0.6385609648410762
9,weight_gsm stiffness,interaction,0.028289738730972097,0.000255748958397739,-0.03598402984618562
10,smoothness,main,1.08442785992472,0.016375402211523348,2.842114708189066
10,weight_gsm,main,10.857470766350172,1.8642833241744683,-0.30243324097684005
10,stiffness,main,0.06665114923076411,0.00048507835398450274,1.8738126345193828
10,smoothness weight_gsm,interaction,0.1837283828102968,0.0011571090288969188,-0.028737658372683574
10,smoothness stiffness,interaction,0.01503395620193536,0.06384234450483271,0.7710857819026089
10,weight_gsm stiffness,interaction,0.0252913832454259,0.00020557563974186178,-0.032570692396776554
11,smoothness,main,1.4264579318258752,0.026271495186331272,2.263129345069479
11,weight_gsm,main,10.725932829347597,1.8972673904503736,-0.2974714274845787
11,stiffness,main,0.1056385950417661,0.001023006703105378,1.751154215776297
